ID_PRODUTO,DATA_EVENTO,CATEGORIA,PRECO,FLAG_PROMOCAO,VENDAS_UNIDADES,DEMANDA_UNIDADES,VENDAS_PERDIDAS,ESTOQUE_INICIO_DIA,ESTOQUE_FIM_DIA,PEDIDO_REPOSICAO,LEAD_TIME_DIAS,ESTOQUE_SEGURANCA,PONTO_REPOSICAO,DIA_SEMANA,MES
1000,2023-01-01,Eletronicos,158.73,0,11,11,0,126,115,0,6,23,46,6,1
1001,2023-01-01,Infantil,72.75,1,7,7,0,118,111,0,6,25,53,6,1
1002,2023-01-01,Eletronicos,58.75,0,9,9,0,137,128,0,7,26,51,6,1
1003,2023-01-01,Infantil,63.79,0,9,9,0,93,84,0,7,11,57,6,1
1004,2023-01-01,Eletronicos,19.75,0,8,8,0,95,87,0,7,19,58,6,1
1005,2023-01-01,Esporte,32.13,0,11,11,0,106,95,0,5,13,54,6,1
1006,2023-01-01,Infantil,192.27,0,5,5,0,119,114,0,4,11,47,6,1
1007,2023-01-01,Eletronicos,23.06,0,14,14,0,130,116,0,5,24,59,6,1
1008,2023-01-01,Esporte,170.85,0,6,6,0,119,113,0,6,19,55,6,1
1009,2023-01-01,Casa,66.65,0,13,13,0,116,103,0,6,14,55,6,1
1010,2023-01-01,Casa,181.63,0,6,6,0,147,141,0,6,21,46,6,1
1011,2023-01-01,Beleza,49.28,0,15,15,0,99,84,0,5,19,57,6,1
1012,2023-01-01,Eletronicos,22.22,0,9,9,0,124,115,0,5,26,42,6,1
1013,2023-01-01,Eletronicos,77.77,0,6,6,0,123,117,0,7,27,35,6,1
1014,2023-01-01,Beleza,149.21,0,10,10,0,118,108,0,5,12,49,6,1
1015,2023-01-01,Esporte,29.04,0,6,6,0,139,133,0,3,13,43,6,1
1016,2023-01-01,Esporte,29.38,0,11,11,0,106,95,0,2,28,48,6,1
1017,2023-01-01,Eletronicos,22.68,1,11,11,0,148,137,0,3,16,52,6,1
1018,2023-01-01,Casa,46.07,1,12,12,0,110,98,0,7,17,58,6,1
1019,2023-01-01,Esporte,94.03,0,6,6,0,123,117,0,3,25,55,6,1
1020,2023-01-01,Eletronicos,124.41,0,10,10,0,121,111,0,4,24,40,6,1
1021,2023-01-01,Casa,24.25,0,8,8,0,141,133,0,2,25,47,6,1
1022,2023-01-01,Eletronicos,84.47,0,5,5,0,116,111,0,5,23,37,6,1
1023,2023-01-01,Beleza,145.43,0,10,10,0,107,97,0,5,13,52,6,1
1024,2023-01-01,Infantil,71.01,1,6,6,0,91,85,0,5,19,44,6,1
